name,homepage_url, market , funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at
ZQGame,http://zqgame.com, Games ,"4,220,018",operating,USA,CA,Los Angeles,El Segundo,1,3/1/11,2011-03,2011-Q1,2011,12/1/07,12/1/07
ZS Genetics,http://www.zsgenetics.com, Biotechnology ,"2,444,963",operating,USA,MA,Boston,Wakefield,3,1/1/05,2005-01,2005-Q1,2005,1/6/12,5/16/14
ZS Pharma,http://zspharma.com, Biotechnology ,"122,987,972",operating,USA,TX,Dallas,Coppell,5,1/1/08,2008-01,2008-Q1,2008,12/14/10,7/18/14
Zscaler,http://www.zscaler.com, Data Security ,"38,000,000",operating,USA,CA,SF Bay Area,San Jose,1,1/1/07,2007-01,2007-Q1,2007,8/30/12,8/30/12
zSoup,http://www.tusavvy.com, Search ,"90,000",operating,KOR,,Seongnam,Seongnam,1,9/1/07,2007-09,2007-Q3,2007,9/1/07,9/1/07
Ztail,http://ztail.com, Price Comparison ,"1,500,000",closed,USA,CA,SF Bay Area,Palo Alto,2,1/1/05,2005-01,2005-Q1,2005,5/1/08,4/1/09
ZTE9 Corporation,http://zte9.com/, Mobile ,"2,059,308",operating,,,,,1,,,,,2/1/14,2/1/14
Ztory,http://www.ztory.com, Services , -   ,operating,SWE,,SWE - Other,Karlstad,1,1/1/13,2013-01,2013-Q1,2013,9/23/14,9/23/14
Zuberance,http://www.zuberance.com, Social Media ,"12,000,000",operating,USA,CA,SF Bay Area,San Carlos,2,2/1/07,2007-02,2007-Q1,2007,11/24/08,10/26/10
Zubican,http://www.zubican.com, Curated Web , -   ,acquired,USA,CA,Santa Barbara,Moorpark,1,12/1/06,2006-12,2006-Q4,2006,5/1/08,5/1/08
Zubie,http://www.zubie.co, Hardware + Software ,"18,000,000",operating,USA,SC,"Charleston, South Carolina",Sullivans Island,3,5/1/12,2012-05,2012-Q2,2012,5/1/12,8/11/14
Zubka,http://www.zubka.com, Consulting ,"3,896,936",closed,GBR,,GBR - Other,,1,1/1/06,2006-01,2006-Q1,2006,2/9/07,2/9/07
ZUCHEM,http://www.zuchem.com, Health and Wellness ,"150,000",operating,USA,IL,Chicago,Chicago,1,1/1/01,2001-01,2001-Q1,2001,4/16/13,4/16/13
Zuffle,,,"132,351",operating,,,,,1,,,,,7/26/13,7/26/13
Zuga Medical,http://www.zugamedical.com, Hardware + Software ,"350,000",operating,USA,OH,Cleveland,Cleveland,2,1/1/09,2009-01,2009-Q1,2009,3/23/12,6/12/13
ZUGGI,http://www.zuggi.com.br/home.php, Search ,"40,000",operating,ITA,,BRA - Other,Bra,1,11/1/10,2010-11,2010-Q4,2010,6/20/11,6/20/11
Zuki,http://www.zukiapp.com, Mobile ,"30,000",operating,,,,,1,7/1/12,2012-07,2012-Q3,2012,7/1/12,7/1/12
Zula,http://www.zulaapp.com, Mobile ,"4,000,000",operating,USA,NY,New York City,New York,3,3/1/12,2012-03,2012-Q1,2012,5/22/13,6/11/14
Zulahoo,http://zulahoo.info, Software ,"100,000",operating,USA,TX,Dallas,Irving,1,1/1/09,2009-01,2009-Q1,2009,2/8/13,2/8/13
Zulama,http://zulama.com, Education ,"200,000",operating,USA,PA,Pittsburgh,Pittsburgh,1,1/1/09,2009-01,2009-Q1,2009,2/2/13,2/2/13
Zuldi,http://www.zuldi.co/, Nightclubs ,"80,000",operating,USA,NV,Las Vegas,Las Vegas,3,12/1/11,2011-12,2011-Q4,2011,4/11/12,6/12/13
Zuli,http://zuli.io, Technology ,"1,650,000",operating,,,,,3,1/1/12,2012-01,2012-Q1,2012,7/19/12,8/27/14
zulily,http://www.zulily.com, E-Commerce ,"138,600,000",operating,USA,WA,Seattle,Seattle,4,1/1/10,2010-01,2010-Q1,2010,12/17/09,11/15/12
Zulu,http://www.zulu-inc.com, Software ,"1,070,000",operating,USA,CA,SF Bay Area,San Jose,2,2/28/12,2012-02,2012-Q1,2012,8/1/12,3/26/13
zumatek,http://zumatek.com, Biotechnology ,"150,000",operating,USA,NC,Raleigh,Chapel Hill,1,1/1/05,2005-01,2005-Q1,2005,11/23/10,11/23/10
Zumba Fitness,http://www.zumba.com, Health and Wellness , -   ,operating,USA,FL,FL - Other,Hallandale,1,1/1/01,2001-01,2001-Q1,2001,3/8/12,3/8/12
Zumbl,http://zumbl.com, Entertainment ,"140,000",operating,IND,,New Delhi,Gurgaon,3,11/1/12,2012-11,2012-Q4,2012,4/3/13,4/5/14
Zumbox,http://blogs.wsj.com/venturecapital/2014/04/10/zumbox-closes-after-seven-years-30m-plus-in-funding-from-michael-eisner-and-others/, Curated Web ,"28,300,000",closed,USA,CA,Los Angeles,Los Angeles,4,10/1/06,2006-10,2006-Q4,2006,6/23/08,7/10/12
Zume Life,http://www.zumelife.com, iPhone ,"1,700,000",closed,USA,CA,SF Bay Area,San Jose,2,7/25/06,2006-07,2006-Q3,2006,1/1/07,4/1/08
Zumeo.com,http://www.zumeodesign.com/, Recruiting ,"100,000",operating,USA,OR,Medford,Medford,1,5/1/07,2007-05,2007-Q2,2007,1/29/09,1/29/09
Zumi Networks,http://www.zuminetworks.com, Analytics ,"500,000",operating,USA,WA,Seattle,Kirkland,1,9/1/13,2013-09,2013-Q3,2013,10/1/13,10/1/13
Zumigo,http://www.zumigo.com, Location Based Services ,"7,720,000",operating,USA,CA,SF Bay Area,San Jose,3,1/1/08,2008-01,2008-Q1,2008,12/28/10,8/22/14
ZummZumm,http://www.zummzumm.com, Social Media ,"50,000",closed,GBR,,London,London,1,11/6/11,2011-11,2011-Q4,2011,5/22/12,5/22/12
Zumobi,http://www.zumobi.com, Mobile ,"12,000,000",operating,USA,WA,Seattle,Seattle,1,3/1/07,2007-03,2007-Q1,2007,5/7/07,5/7/07
Zumper,http://www.zumper.com, Online Rental ,"8,200,000",operating,USA,CA,SF Bay Area,San Francisco,2,1/1/12,2012-01,2012-Q1,2012,5/30/12,3/4/14
Zuora,http://www.zuora.com, Billing ,"127,500,000",operating,USA,CA,SF Bay Area,Foster City,5,1/1/07,2007-01,2007-Q1,2007,3/13/08,9/5/13
ZupCat,http://www.zupcat.com, Social Games ,"700,000",operating,ARG,,Buenos Aires,Buenos Aires,1,9/1/11,2011-09,2011-Q3,2011,9/1/11,9/1/11
Zuppler,http://zuppler.com, Restaurants ,"1,240,000",operating,USA,PA,Philadelphia,Philadelphia,3,11/15/08,2008-11,2008-Q4,2008,11/15/12,8/15/14
Zura!,http://www.zura.com.br, E-Commerce , -   ,operating,,,,,1,,,,,1/1/08,1/1/08
Zurex Pharma,http://www.zurex-pharma.com, Health Care ,"11,146,457",operating,USA,WI,WI - Other,Middleton,4,1/1/10,2010-01,2010-Q1,2010,5/2/11,7/2/14
Zurff,http://zurff.com,, -   ,operating,NLD,,Amsterdam,Zwolle,2,1/1/14,2014-01,2014-Q1,2014,7/25/14,9/25/14
Zurn,http://www.zurn.com, Social Media , -   ,operating,CHN,,CHN - Other,,1,1/1/13,2013-01,2013-Q1,2013,12/1/13,12/1/13
Zurrba,http://www.zurrba.com, Software , -   ,operating,USA,CA,SF Bay Area,Palo Alto,1,,,,,1/15/14,1/15/14
Zursh,http://www.zursh.com/,,"25,000",operating,,,,,1,,,,,5/1/14,5/1/14
Zuse,, Software , -   ,operating,USA,NY,New York City,New York,1,,,,,5/1/13,5/1/13
ZUtA Labs,http://www.zutalabs.com/, Printing ,"500,000",operating,USA,IL,Chicago,Lincolnwood,1,,,,,4/10/14,4/10/14
Zutux,http://www.zutux.com, E-Commerce ,"1,503,926",operating,GBR,,Manchester,Manchester,1,,,,,4/16/12,4/16/12
Zuu Onlnine,http://us.zuuonline.com/, Financial Services ,"1,000,000",operating,JPN,,Tokyo,Tokyo,1,1/1/13,2013-01,2013-Q1,2013,8/24/14,8/24/14
Zuujit,http://www.zuujit.com, E-Commerce ,"2,700,000",closed,USA,CA,Santa Barbara,Santa Barbara,1,1/1/10,2010-01,2010-Q1,2010,4/30/10,4/30/10
zuuka!,http://www.istorytime.com, Apps , -   ,acquired,USA,CA,Santa Barbara,Santa Barbara,2,4/10/09,2009-04,2009-Q2,2009,1/24/11,6/11/12
Zuvvu,http://zuvvu.com, Advertising ,"12,000",closed,IND,,Ahmedabad,Ahmadabad,1,6/1/10,2010-06,2010-Q2,2010,11/1/11,11/1/11
Zuznow,http://www.zuznow.com, Apps ,"650,000",operating,ISR,,Tel Aviv,Tel Aviv,1,1/1/10,2010-01,2010-Q1,2010,12/15/12,12/15/12
ZuzuChe,http://www.zuzuche.com, E-Commerce ,"1,515,151",operating,CHN,,Guangzhou,Guangzhou,1,1/1/11,2011-01,2011-Q1,2011,1/1/11,1/1/11
Zvents,http://www.zvents.com, Entertainment ,"55,200,000",acquired,USA,CA,SF Bay Area,San Mateo,4,3/1/05,2005-03,2005-Q1,2005,10/5/05,9/30/11
Zvooq,http://zvooq.ru/welcome/, Music ,"20,000,000",operating,RUS,,Moscow,Moscow,2,1/1/11,2011-01,2011-Q1,2011,6/1/11,8/19/14
Zwamy,,,"387,794",operating,USA,CA,SF Bay Area,Los Altos Hills,1,1/1/13,2013-01,2013-Q1,2013,4/2/14,4/2/14
Zweemie,http://www.tellasksell.com, Messaging ,"250,000",operating,USA,MI,Flint,Grand Blanc,1,1/1/09,2009-01,2009-Q1,2009,6/3/10,6/3/10
zweitgeist,http://www.weblin.com, Software ,"651,000",operating,DEU,,Hamburg,Hamburg,1,6/24/06,2006-06,2006-Q2,2006,2/1/07,2/1/07
Zwipe,http://zwipe.com, Mobile ,"3,500,000",operating,NOR,,Oslo,Oslo,1,1/1/09,2009-01,2009-Q1,2009,12/10/13,12/10/13
Zwittle,http://zwittle.com, Software ,"190,000",operating,USA,UT,Salt Lake City,Logan,1,1/1/11,2011-01,2011-Q1,2011,4/19/12,4/19/12
zwoor.com,http://www.zwoor.com, Polling ,"100,000",operating,,,,,1,1/1/10,2010-01,2010-Q1,2010,1/1/11,1/1/11
Zyante,http://www.zyante.com, News ,"870,000",operating,USA,CA,SF Bay Area,Los Gatos,2,1/1/12,2012-01,2012-Q1,2012,12/1/13,4/2/14
ZYB,http://zyb.com, Social Network Media ,"3,845,100",acquired,DNK,,Copenhagen,Copenhagen,2,,,,,1/1/05,9/1/06
Zyga,http://www.zyga.com, Medical Devices ,"55,750,000",operating,USA,MN,Minneapolis,Minnetonka,6,1/1/08,2008-01,2008-Q1,2008,10/6/08,9/25/14
Zygo Communications,http://www.zygocommunications.com/who, Mobile , -   ,closed,GBR,,London,London,1,6/21/05,2005-06,2005-Q2,2005,11/19/07,11/19/07
Zygo Corporation,http://www.zygo.com, Manufacturing ,"9,000,000",,USA,CT,CT - Other,Middlefield,1,,,,,10/24/11,10/24/11
Zyken - NightCove,http://www.zyken.com, Hardware + Software ,"3,384,225",acquired,FRA,,Paris,Paris,4,1/1/05,2005-01,2005-Q1,2005,1/1/05,4/1/12
Zykis,http://zykis.com, Automotive ,"800,000",closed,USA,CA,Anaheim,Irvine,1,10/27/06,2006-10,2006-Q4,2006,10/27/06,10/27/06
Zylie the Bear,http://zyliethebear.com, E-Commerce ,"75,000",operating,USA,CT,Hartford,Greenwich,1,1/1/09,2009-01,2009-Q1,2009,6/7/12,6/7/12
Zylun Staffing,http://www.zylun.com, Software ,"666,154",operating,USA,UT,Salt Lake City,Lehi,1,1/1/10,2010-01,2010-Q1,2010,8/28/14,8/28/14
Zyme Solutions,http://www.zymesolutions.com, Hardware ,"12,039,999",operating,USA,CA,CA - Other,Redwood Shores,5,1/1/04,2004-01,2004-Q1,2004,9/12/05,5/1/14
Zymergen,http://www.zymergen.com, Biotechnology , -   ,operating,USA,CA,SF Bay Area,San Francisco,1,1/1/13,2013-01,2013-Q1,2013,1/1/14,1/1/14
Zymetis,http://www.zymetis.com, Biotechnology ,"2,257,464",closed,USA,MD,"Washington, D.C.",College Park,2,1/1/06,2006-01,2006-Q1,2006,1/11/10,1/31/10
Zymeworks,http://zymeworks.com, Biotechnology ,"38,900,000",operating,CAN,BC,Vancouver,Vancouver,5,4/1/04,2004-04,2004-Q2,2004,3/3/08,1/9/14
Zympi,http://www.zympi.com, Web Hosting , -   ,operating,,,,,1,9/3/10,2010-09,2010-Q3,2010,11/22/11,11/22/11
Zyncd,http://www.zyncd.com, Crowdsourcing , -   ,operating,GBR,,London,London,1,1/1/14,2014-01,2014-Q1,2014,2/1/14,2/1/14
Zyncro,http://www.zyncro.com, MicroBlogging ,"3,805,520",operating,ESP,,Barcelona,Barcelona,2,9/1/09,2009-09,2009-Q3,2009,4/5/11,2/3/12
Zynga,http://www.zynga.com, Technology ,"866,550,786",operating,USA,CA,SF Bay Area,San Francisco,9,7/1/07,2007-07,2007-Q3,2007,1/1/07,2/18/11
Zyngenia,http://www.zyngenia.com, Biotechnology ,"25,000,000",operating,USA,MD,"Washington, D.C.",Gaithersburg,1,1/1/08,2008-01,2008-Q1,2008,9/9/10,9/9/10
Zynstra,http://www.zynstra.com, Software ,"14,750,000",operating,GBR,,Bath,Bath,4,11/30/11,2011-11,2011-Q4,2011,3/3/12,7/9/14
ZYOMYX,http://www.zyomyx.com, Biotechnology ,"34,275,015",operating,USA,MO,MO - Other,Fremont,4,1/1/98,1998-01,1998-Q1,1998,1/29/10,3/26/14
Zyraz Technology,http://www.zyraz.com, Biotechnology ,"15,419,877",closed,MYS,,MYS - Other,Damansara New Village,4,1/1/94,1994-01,1994-Q1,1994,1/1/08,2/15/13
Zyrra,http://www.zyrra.com, E-Commerce ,"1,510,500",operating,USA,MA,Boston,Cambridge,4,,,,,10/21/10,10/18/12
Zytoprotec,http://www.zytoprotec.com, Biotechnology ,"2,686,600",operating,AUT,,Gerasdorf Bei Wien,Gerasdorf Bei Wien,1,1/1/07,2007-01,2007-Q1,2007,1/29/13,1/29/13
Zzish,http://www.zzish.com, Education ,"320,000",operating,GBR,,London,London,1,1/28/13,2013-01,2013-Q1,2013,3/24/14,3/24/14
ZZNode Science and Technology,http://www.zznode.com, Enterprise Software ,"1,587,301",operating,CHN,,Beijing,Beijing,1,,,,,4/1/12,4/1/12
Zzzzapp Wireless ltd.,http://www.zzzzapp.com, Web Development ,"97,398",operating,HRV,,Split,Split,5,5/13/12,2012-05,2012-Q2,2012,11/1/11,9/10/14
[a]list games,http://www.alistgames.com, Games ,"9,300,000",operating,,,,,1,,,,,11/21/11,11/21/11
[x+1],http://www.xplusone.com/, Enterprise Software ,"45,000,000",operating,USA,NY,New York City,New York,4,1/1/99,1999-01,1999-Q1,1999,6/1/08,4/4/13
