name,homepage_url, market , funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at
Zeltiq Aesthetics,http://zeltiq.com, Biotechnology ,"70,424,200",operating,USA,CA,SF Bay Area,Pleasanton,3,1/1/05,2005-01,2005-Q1,2005,10/29/07,6/3/10
Zemanta,http://www.zemanta.com, Blogging Platforms ,"7,350,000",operating,USA,NY,New York City,New York,5,9/9/07,2007-09,2007-Q3,2007,9/1/07,11/5/13
Zen Planner,http://www.zenplanner.com, Billing ,"11,150,000",operating,USA,CO,Denver,Littleton,3,1/1/05,2005-01,2005-Q1,2005,9/19/11,10/22/13
Zen99,https://www.tryzen99.com/, Software ,"120,000",operating,,,,,2,1/1/14,2014-01,2014-Q1,2014,7/16/14,8/15/14
Zenamins,http://zenamins.com/, Medical ,"120,000",operating,USA,CA,SF Bay Area,San Francisco,1,,,,,7/16/14,7/16/14
Zenbox,http://www.zenboxapp.com,, -   ,operating,,,,,2,,,,,8/2/11,5/1/12
ZenCard,http://zencard.pl/, E-Commerce ,"1,045,958",operating,POL,,Warsaw,Warsaw,2,,,,,9/1/14,9/3/14
Zencoder,http://zencoder.com, Audio ,"2,000,000",acquired,USA,CA,SF Bay Area,San Francisco,2,1/1/07,2007-01,2007-Q1,2007,2/1/10,4/12/11
Zend Enterprise PHP Business Plan,, Software , -   ,operating,IDN,,Jakarta,Jakarta,1,11/10/99,1999-11,1999-Q4,1999,2/2/12,2/2/12
Zend Technologies,http://www.zend.com, PaaS ,"44,000,000",operating,USA,CA,SF Bay Area,Cupertino,4,1/1/99,1999-01,1999-Q1,1999,7/19/04,1/10/11
Zenda Technologies,http://www.zendatech.com, Biotechnology ,"3,000,000",closed,USA,GA,Atlanta,Roswell,1,,,,,1/1/08,1/1/08
ZenDay,http://www.zenday-app.com, Task Management ,"260,000",operating,FRA,,Annecy,Annecy,1,1/1/11,2011-01,2011-Q1,2011,3/15/13,3/15/13
ZenDeals,http://zendeals.com, Curated Web , -   ,operating,USA,WA,Seattle,Redmond,1,,,,,12/13/12,12/13/12
Zendesk,http://zendesk.com, Tech Field Support ,"85,500,000",operating,USA,CA,SF Bay Area,San Francisco,5,10/5/07,2007-10,2007-Q4,2007,6/18/08,9/12/12
ZenDoc,http://www.getzendoc.com, Software , -   ,operating,FRA,,Picardie,Irles,1,1/1/12,2012-01,2012-Q1,2012,9/1/12,9/1/12
